"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"LOC111129343","LOC111129343","LOC111129343",NA,"protein_coding","Eastern oyster","NC_035783.1",0.811346,"uncharacterized LOC111129343- transcript variant X1",NA,6,91793,30672,91793,NA,NA,117
"LOC111120086","LOC111120086","LOC111120086",NA,"protein_coding","Eastern oyster","NC_035781.1",0.848464,"fizzy-related protein homolog",NA,1,6379,1476,6379,NA,NA,13
"LOC111118497","LOC111118497","LOC111118497",NA,"protein_coding","Eastern oyster","NC_035781.1",0.887245,"cAMP-dependent protein kinase catalytic subunit- transcript variant X3",NA,9,26155,1111,14776,NA,NA,11
"LOC111104066","LOC111104066","LOC111104066",NA,"protein_coding","Eastern oyster","NC_035786.1",1.089101,"uncharacterized LOC111104066- transcript variant X1",NA,2,6459,1845,6449,NA,NA,6
"LOC111104069","LOC111104069","LOC111104069",NA,"protein_coding","Eastern oyster","NC_035786.1",1.131325,"uncharacterized LOC111104069",NA,1,3569,858,3569,NA,NA,2
"LOC111119190","LOC111119190","LOC111119190",NA,"protein_coding","Eastern oyster","NC_035781.1",1.144874,"ornithine decarboxylase-like- transcript variant X1",NA,2,7946,1401,6238,NA,NA,12
"LOC111108441","LOC111108441","LOC111108441",NA,"protein_coding","Eastern oyster","NC_035787.1",1.253377,"uncharacterized LOC111108441",NA,1,12926,3264,12926,NA,NA,9
"LOC111104068","LOC111104068","LOC111104068",NA,"protein_coding","Eastern oyster","NC_035786.1",1.331799,"nacrein-like protein",NA,1,7120,1290,7120,NA,NA,10
"LOC111114889","LOC111114889","LOC111114889",NA,"protein_coding","Eastern oyster","NC_035788.1",1.341861,"F-box/LRR-repeat protein 8-like",NA,1,3277,1191,3277,NA,NA,2
"LOC111104062","LOC111104062","LOC111104062",NA,"protein_coding","Eastern oyster","NC_035786.1",1.361663,"uncharacterized LOC111104062",NA,1,29445,3645,29445,NA,NA,6
"LOC111122195","LOC111122195","LOC111122195",NA,"protein_coding","Eastern oyster","NC_035781.1",1.367318,"E3 ubiquitin-protein ligase RNF14-like",NA,1,12119,1737,12119,NA,NA,11
"LOC111106991","LOC111106991","LOC111106991",NA,"protein_coding","Eastern oyster","NC_035787.1",1.451063,"uncharacterized LOC111106991",NA,1,4707,1887,4707,NA,NA,2
"LOC111102475","LOC111102475","LOC111102475",NA,"protein_coding","Eastern oyster","NC_035786.1",1.558587,"negative elongation factor D-like- transcript variant X3",NA,3,124856,1698,117980,NA,NA,15
"LOC111100661","LOC111100661","LOC111100661",NA,"protein_coding","Eastern oyster","NC_035785.1",1.871355,"uncharacterized LOC111100661",NA,1,2993,2475,2993,NA,NA,2
"LOC111127806","LOC111127806","LOC111127806",NA,"protein_coding","Eastern oyster","NC_035783.1",1.939659,"uncharacterized LOC111127806- transcript variant X2",NA,2,3757,1806,3756,NA,NA,2
"LOC111118825","LOC111118825","LOC111118825",NA,"protein_coding","Eastern oyster","NC_035781.1",1.985802,"putative ankyrin repeat protein RF_0381",NA,1,1661,1158,1661,NA,NA,1
"LOC111121756","LOC111121756","LOC111121756",NA,"protein_coding","Eastern oyster","NC_035781.1",1.995797,"CD82 antigen-like- transcript variant X1",NA,2,6655,873,6655,NA,NA,9
"LOC111121738","LOC111121738","LOC111121738",NA,"protein_coding","Eastern oyster","NC_035781.1",2.088026,"isovaleryl-CoA dehydrogenase- mitochondrial-like- transcript variant X1",NA,2,6384,1263,6384,NA,NA,12
"LOC111131536","LOC111131536","LOC111131536",NA,"protein_coding","Eastern oyster","NC_035783.1",2.421243,"uncharacterized LOC111131536",NA,1,4755,792,4755,NA,NA,7
"LOC111128982","LOC111128982","LOC111128982",NA,"protein_coding","Eastern oyster","NC_035783.1",2.61504,"macrophage mannose receptor 1-like",NA,1,9104,1923,9104,NA,NA,17
"LOC111100985","LOC111100985","LOC111100985",NA,"protein_coding","Eastern oyster","NC_035780.1",2.622064,"protocadherin Fat 4-like",NA,1,8344,4050,8344,NA,NA,18
"LOC111131173","LOC111131173","LOC111131173",NA,"protein_coding","Eastern oyster","NC_035783.1",2.712138,"transmembrane protein 151B-like- transcript variant X2",NA,2,11737,1698,9276,NA,NA,2
"LOC111137334","LOC111137334","LOC111137334",NA,"protein_coding","Eastern oyster","NC_035784.1",2.721199,"uncharacterized LOC111137334",NA,1,3707,2700,3707,NA,NA,2
"LOC111135147","LOC111135147","LOC111135147",NA,"protein_coding","Eastern oyster","NC_035784.1",2.72971,"tyrosine aminotransferase-like- transcript variant X1",NA,2,17874,1278,17574,NA,NA,11
"LOC111131137","LOC111131137","LOC111131137",NA,"protein_coding","Eastern oyster","NC_035783.1",2.751994,"uncharacterized LOC111131137- transcript variant X2",NA,3,1982,390,1975,NA,NA,4
"LOC111126675","LOC111126675","LOC111126675",NA,"protein_coding","Eastern oyster","NC_035782.1",2.755098,"general transcription factor 3C polypeptide 5-like- transcript variant X1",NA,3,28905,1478,21040,NA,NA,10
"LOC111137256","LOC111137256","LOC111137256",NA,"protein_coding","Eastern oyster","NC_035784.1",2.76697,"valacyclovir hydrolase-like- transcript variant X1",NA,3,7731,867,7665,NA,NA,8
"LOC111128343","LOC111128343","LOC111128343",NA,"protein_coding","Eastern oyster","NC_035783.1",2.808521,"uncharacterized LOC111128343",NA,1,1798,480,1798,NA,NA,4
"LOC111137505","LOC111137505","LOC111137505",NA,"protein_coding","Eastern oyster","NC_035784.1",2.813963,"protein giant-like",NA,1,1714,786,1714,NA,NA,1
"LOC111118840","LOC111118840","LOC111118840",NA,"protein_coding","Eastern oyster","NC_035781.1",2.846474,"collagen alpha-1(I) chain-like",NA,1,14241,1917,14241,NA,NA,12
"LOC111131798","LOC111131798","LOC111131798",NA,"protein_coding","Eastern oyster","NC_035783.1",3.035139,"visual pigment-like receptor peropsin- transcript variant X1",NA,2,18171,1017,17918,NA,NA,3
"LOC111130898","LOC111130898","LOC111130898",NA,"protein_coding","Eastern oyster","NC_035783.1",3.078907,"solute carrier family 12 member 3-like",NA,1,16277,3543,16277,NA,NA,23
"LOC111101800","LOC111101800","LOC111101800",NA,"protein_coding","Eastern oyster","NC_035785.1",3.171918,"proline-rich transmembrane protein 1-like",NA,1,3683,453,3683,NA,NA,4
"LOC111121630","LOC111121630","LOC111121630",NA,"protein_coding","Eastern oyster","NC_035781.1",3.186711,"programmed cell death protein 6-like- transcript variant X1",NA,2,10338,870,10338,NA,NA,7
"LOC111123162","LOC111123162","LOC111123162",NA,"protein_coding","Eastern oyster","NC_035782.1",3.191382,"helicase SKI2W-like",NA,1,21810,3711,21810,NA,NA,24
"LOC111119204","LOC111119204","LOC111119204",NA,"protein_coding","Eastern oyster","NC_035781.1",3.225621,"RNA pseudouridylate synthase domain-containing protein 1-like- transcript variant X2",NA,2,5501,726,5472,NA,NA,4
"LOC111129949","LOC111129949","LOC111129949",NA,"protein_coding","Eastern oyster","NC_035783.1",3.242183,"uncharacterized protein C1orf198 homolog- transcript variant X2",NA,2,3356,1131,3355,NA,NA,4
"LOC111136303","LOC111136303","LOC111136303",NA,"protein_coding","Eastern oyster","NC_035784.1",3.335086,"uncharacterized LOC111136303",NA,1,30923,2331,30923,NA,NA,12
"LOC111131821","LOC111131821","LOC111131821",NA,"protein_coding","Eastern oyster","NC_035783.1",3.387095,"uncharacterized LOC111131821",NA,1,7573,1575,7573,NA,NA,2
"LOC111137602","LOC111137602","LOC111137602",NA,"protein_coding","Eastern oyster","NC_035784.1",3.426251,"uncharacterized LOC111137602- transcript variant X1",NA,5,20749,3229,19960,NA,NA,16
"LOC111132915","LOC111132915","LOC111132915",NA,"protein_coding","Eastern oyster","NC_035784.1",3.485026,"general transcription factor IIH subunit 2-like",NA,1,6903,1200,6903,NA,NA,14
"LOC111132916","LOC111132916","LOC111132916",NA,"protein_coding","Eastern oyster","NC_035784.1",3.492048,"pleckstrin homology domain-containing family B member 2-like",NA,1,5402,483,5402,NA,NA,5
"LOC111132955","LOC111132955","LOC111132955",NA,"protein_coding","Eastern oyster","NC_035784.1",3.533644,NA,NA,1,20194,3936,20194,NA,NA,26
"LOC111116034","LOC111116034","LOC111116034",NA,"protein_coding","Eastern oyster","NC_035780.1",3.603654,"uncharacterized LOC111116034",NA,1,32150,1746,32150,NA,NA,15
"LOC111111995","LOC111111995","LOC111111995",NA,"protein_coding","Eastern oyster","NC_035780.1",3.637454,"microtubule-associated proteins 1A/1B light chain 3A-like- transcript variant X2",NA,3,5114,423,4963,NA,NA,4
"LOC111121310","LOC111121310","LOC111121310",NA,"protein_coding","Eastern oyster","NC_035781.1",3.641833,"ADP-ATP carrier protein ER-ANT1-like",NA,1,1656,1002,1656,NA,NA,2
"LOC111129250","LOC111129250","LOC111129250",NA,"protein_coding","Eastern oyster","NC_035783.1",3.645433,"radial spoke head protein 4 homolog A-like",NA,1,3667,1581,3667,NA,NA,9
"LOC111117847","LOC111117847","LOC111117847",NA,"protein_coding","Eastern oyster","NC_035789.1",3.742579,"keratin-associated protein 21-1-like",NA,1,1615,495,1615,NA,NA,4
"LOC111117622","LOC111117622","LOC111117622",NA,"protein_coding","Eastern oyster","NC_035789.1",3.776118,"uncharacterized LOC111117622",NA,1,8481,1710,8481,NA,NA,4
"LOC111102529","LOC111102529","LOC111102529",NA,"protein_coding","Eastern oyster","NC_035786.1",3.848683,"glutamine synthetase-like",NA,1,4959,1185,4959,NA,NA,7
"LOC111134839","LOC111134839","LOC111134839",NA,"protein_coding","Eastern oyster","NC_035784.1",3.849245,"ankycorbin-like- transcript variant X2",NA,2,7422,2290,7422,NA,NA,6
"LOC111103059","LOC111103059","LOC111103059",NA,"protein_coding","Eastern oyster","NC_035786.1",3.872255,"uncharacterized LOC111103059",NA,1,3791,1080,3791,NA,NA,4
"LOC111131292","LOC111131292","LOC111131292",NA,"protein_coding","Eastern oyster","NC_035780.1",3.953804,"uncharacterized LOC111131292",NA,1,13086,1029,13086,NA,NA,11
"LOC111128392","LOC111128392","LOC111128392",NA,"protein_coding","Eastern oyster","NC_035783.1",4.091106,"uncharacterized LOC111128392",NA,1,2895,1164,2895,NA,NA,9
"LOC111117989","LOC111117989","LOC111117989",NA,"protein_coding","Eastern oyster","NC_035781.1",4.138464,NA,NA,1,12670,1212,12670,NA,NA,9
"LOC111120497","LOC111120497","LOC111120497",NA,"protein_coding","Eastern oyster","NC_035781.1",4.427906,"uncharacterized LOC111120497- transcript variant X3",NA,5,9676,789,6168,NA,NA,3
"LOC111128056","LOC111128056","LOC111128056",NA,"protein_coding","Eastern oyster","NC_035783.1",4.672081,"uncharacterized LOC111128056- transcript variant X1",NA,2,11220,2950,10811,NA,NA,16
"LOC111128025","LOC111128025","LOC111128025",NA,"protein_coding","Eastern oyster","NC_035783.1",4.687718,"arylsulfatase B-like",NA,1,12002,1446,12002,NA,NA,14
"LOC111120600","LOC111120600","LOC111120600",NA,"protein_coding","Eastern oyster","NC_035781.1",4.78999,NA,NA,1,6552,3774,6552,NA,NA,29
"LOC111130163","LOC111130163","LOC111130163",NA,"protein_coding","Eastern oyster","NC_035783.1",4.800837,"cytochrome P450 2C8-like",NA,1,3523,1467,3523,NA,NA,4
"LOC111136807","LOC111136807","LOC111136807",NA,"protein_coding","Eastern oyster","NC_035784.1",4.805913,"protein VAC14 homolog- transcript variant X3",NA,3,14213,2170,14213,NA,NA,16
"LOC111130160","LOC111130160","LOC111130160",NA,"protein_coding","Eastern oyster","NC_035783.1",4.807149,"cytochrome P450 2C8-like",NA,1,5439,1467,5439,NA,NA,4
"LOC111117191","LOC111117191","LOC111117191",NA,"protein_coding","Eastern oyster","NC_035789.1",5.171056,"WAP four-disulfide core domain protein 6B-like",NA,1,3561,465,3561,NA,NA,4
"LOC111130665","LOC111130665","LOC111130665",NA,"protein_coding","Eastern oyster","NC_035783.1",5.358705,"retinol-binding protein 4-like",NA,1,6962,606,6962,NA,NA,7
"LOC111116935","LOC111116935","LOC111116935",NA,"protein_coding","Eastern oyster","NC_035789.1",5.484819,"uncharacterized LOC111116935",NA,1,13737,924,13737,NA,NA,6
"LOC111129482","LOC111129482","LOC111129482",NA,"protein_coding","Eastern oyster","NC_035783.1",5.489691,"WD repeat-containing protein 26-like",NA,1,11640,1701,11640,NA,NA,14
"LOC111119678","LOC111119678","LOC111119678",NA,"protein_coding","Eastern oyster","NC_035781.1",5.557334,NA,NA,1,21397,4680,21397,NA,NA,30
"LOC111136608","LOC111136608","LOC111136608",NA,"protein_coding","Eastern oyster","NC_035784.1",5.563356,"uncharacterized LOC111136608",NA,1,14446,765,14446,NA,NA,5
"LOC111133392","LOC111133392","LOC111133392",NA,"protein_coding","Eastern oyster","NC_035784.1",5.580216,"kynurenine formamidase-like- transcript variant X3",NA,4,16925,852,15259,NA,NA,3
"LOC111135958","LOC111135958","LOC111135958",NA,"protein_coding","Eastern oyster","NC_035784.1",5.671653,"uncharacterized LOC111135958- transcript variant X2",NA,2,4503,424,4330,NA,NA,6
"LOC111128792","LOC111128792","LOC111128792",NA,"protein_coding","Eastern oyster","NC_035783.1",5.76356,"kelch-like protein 9",NA,1,10738,1080,10738,NA,NA,5
"LOC111130231","LOC111130231","LOC111130231",NA,"protein_coding","Eastern oyster","NC_035783.1",5.779807,"transcription initiation factor IIA subunit 1-like",NA,1,6862,900,6862,NA,NA,9
"LOC111130438","LOC111130438","LOC111130438",NA,"protein_coding","Eastern oyster","NC_035783.1",5.823315,"dynein light chain 1- axonemal-like",NA,1,2908,582,2908,NA,NA,9
"LOC111127416","LOC111127416","LOC111127416",NA,"protein_coding","Eastern oyster","NC_035780.1",6.105477,"myotubularin-related protein 9-like",NA,1,10485,1701,10485,NA,NA,15
"LOC111104676","LOC111104676","LOC111104676",NA,"protein_coding","Eastern oyster","NC_035786.1",6.168861,"metabotropic glutamate receptor 1-like",NA,1,25150,3822,25150,NA,NA,8
"LOC111119818","LOC111119818","LOC111119818",NA,"protein_coding","Eastern oyster","NC_035780.1",6.379352,"GPI mannosyltransferase 2-like",NA,1,4367,1599,4367,NA,NA,3
"LOC111118292","LOC111118292","LOC111118292",NA,"protein_coding","Eastern oyster","NC_035781.1",6.525155,"uncharacterized LOC111118292- transcript variant X2",NA,2,4727,1562,4727,NA,NA,4
"LOC111135769","LOC111135769","LOC111135769",NA,"protein_coding","Eastern oyster","NC_035784.1",6.526362,"uncharacterized LOC111135769- transcript variant X2",NA,2,4492,424,4328,NA,NA,6
"LOC111100637","LOC111100637","LOC111100637",NA,"protein_coding","Eastern oyster","NC_035780.1",6.609614,"serine/threonine-protein kinase RIO3-like- transcript variant X2",NA,2,7927,1748,7848,NA,NA,10
"LOC111120668","LOC111120668","LOC111120668",NA,"protein_coding","Eastern oyster","NC_035781.1",6.704145,"radical S-adenosyl methionine domain-containing protein 2-like- transcript variant X1",NA,2,7923,902,7482,NA,NA,7
"LOC111131701","LOC111131701","LOC111131701",NA,"protein_coding","Eastern oyster","NC_035783.1",6.800783,"uncharacterized LOC111131701",NA,1,1062,417,1062,NA,NA,3
"LOC111119216","LOC111119216","LOC111119216",NA,"protein_coding","Eastern oyster","NC_035781.1",6.856576,"DCN1-like protein 3",NA,1,8357,882,8357,NA,NA,2
"LOC111128607","LOC111128607","LOC111128607",NA,"protein_coding","Eastern oyster","NC_035783.1",6.870787,"serine/Arginine-related protein 53-like- transcript variant X2",NA,4,9367,600,7653,NA,NA,6
"LOC111110150","LOC111110150","LOC111110150",NA,"protein_coding","Eastern oyster","NC_035787.1",7.062292,"U6 snRNA-associated Sm-like protein LSm3",NA,1,4237,312,4237,NA,NA,4
"LOC111110684","LOC111110684","LOC111110684",NA,"protein_coding","Eastern oyster","NC_035787.1",7.093785,"neurogenic locus notch homolog protein 1-like",NA,1,2910,531,2910,NA,NA,3
"LOC111119293","LOC111119293","LOC111119293",NA,"protein_coding","Eastern oyster","NC_035781.1",7.129767,"elongation of very long chain fatty acids protein 4-like",NA,1,3285,810,3285,NA,NA,8
"LOC111110447","LOC111110447","LOC111110447",NA,"protein_coding","Eastern oyster","NC_035787.1",7.131414,"tenascin-N-like",NA,1,3361,519,3361,NA,NA,3
"LOC111125338","LOC111125338","LOC111125338",NA,"protein_coding","Eastern oyster","NC_035780.1",7.235566,"sodium- and chloride-dependent GABA transporter 2-like- transcript variant X10",NA,11,14617,1860,14615,NA,NA,15
"LOC111130840","LOC111130840","LOC111130840",NA,"protein_coding","Eastern oyster","NC_035780.1",7.262836,NA,NA,1,11635,1887,11635,NA,NA,15
"LOC111128784","LOC111128784","LOC111128784",NA,"protein_coding","Eastern oyster","NC_035780.1",7.349046,NA,NA,1,4920,984,4920,NA,NA,9
"LOC111130848","LOC111130848","LOC111130848",NA,"protein_coding","Eastern oyster","NC_035780.1",7.36265,NA,NA,1,23522,2376,23522,NA,NA,20
"LOC111131450","LOC111131450","LOC111131450",NA,"protein_coding","Eastern oyster","NC_035783.1",7.459918,"ADP-ribosylation factor-like protein 15",NA,1,4386,630,4386,NA,NA,5
"LOC111131449","LOC111131449","LOC111131449",NA,"protein_coding","Eastern oyster","NC_035783.1",7.46536,"phosphorylated adapter RNA export protein-like",NA,1,2369,1260,2369,NA,NA,5
"LOC111136732","LOC111136732","LOC111136732",NA,"protein_coding","Eastern oyster","NC_035784.1",7.554607,"uncharacterized LOC111136732",NA,1,10364,2190,10364,NA,NA,14
"LOC111119491","LOC111119491","LOC111119491",NA,"protein_coding","Eastern oyster","NC_035781.1",7.718775,"uncharacterized LOC111119491",NA,1,19679,2196,19679,NA,NA,18
"LOC111135872","LOC111135872","LOC111135872",NA,"protein_coding","Eastern oyster","NC_035784.1",7.783915,"lipoma-preferred partner homolog- transcript variant X2",NA,3,13761,1594,13687,NA,NA,11
"LOC111136666","LOC111136666","LOC111136666",NA,"protein_coding","Eastern oyster","NC_035784.1",7.837608,"eukaryotic translation initiation factor 5A-1-like- transcript variant X1",NA,3,4976,495,4402,NA,NA,6
"LOC111132034","LOC111132034","LOC111132034",NA,"protein_coding","Eastern oyster","NC_035784.1",7.867067,"uncharacterized LOC111132034",NA,1,11787,555,11787,NA,NA,5
"LOC111109321","LOC111109321","LOC111109321",NA,"protein_coding","Eastern oyster","NC_035780.1",7.970408,"uncharacterized LOC111109321- transcript variant X2",NA,2,4747,1248,4746,NA,NA,7
"LOC111113745","LOC111113745","LOC111113745",NA,"protein_coding","Eastern oyster","NC_035780.1",7.975237,"uncharacterized LOC111113745",NA,1,6926,1176,6926,NA,NA,6
"LOC111128509","LOC111128509","LOC111128509",NA,"protein_coding","Eastern oyster","NC_035783.1",7.983518,NA,NA,1,31289,6054,31289,NA,NA,34
"LOC111134162","LOC111134162","LOC111134162",NA,"protein_coding","Eastern oyster","NC_035780.1",7.99366,"sulfate anion transporter 1-like",NA,1,3756,2487,3756,NA,NA,2
"LOC111122932","LOC111122932","LOC111122932",NA,"protein_coding","Eastern oyster","NC_035782.1",8.002096,"G-protein coupled receptor daf-38-like- transcript variant X2",NA,2,38952,1305,20335,NA,NA,2
"LOC111137407","LOC111137407","LOC111137407",NA,"protein_coding","Eastern oyster","NC_035780.1",8.052589,"mediator of RNA polymerase II transcription subunit 30-like- transcript variant X1",NA,2,3902,684,3164,NA,NA,6
"LOC111131342","LOC111131342","LOC111131342",NA,"protein_coding","Eastern oyster","NC_035783.1",8.075743,NA,NA,1,13247,3012,13247,NA,NA,28
"LOC111129259","LOC111129259","LOC111129259",NA,"protein_coding","Eastern oyster","NC_035780.1",8.116419,NA,NA,1,4578,984,4578,NA,NA,7
"LOC111101030","LOC111101030","LOC111101030",NA,"protein_coding","Eastern oyster","NC_035785.1",8.229105,"histone deacetylase 8-like",NA,1,17367,1416,17367,NA,NA,12
"LOC111136328","LOC111136328","LOC111136328",NA,"protein_coding","Eastern oyster","NC_035784.1",8.309399,"required for meiotic nuclear division protein 1 homolog",NA,1,11791,1257,11791,NA,NA,12
"LOC111133767","LOC111133767","LOC111133767",NA,"protein_coding","Eastern oyster","NC_035784.1",8.345136,"uncharacterized LOC111133767",NA,1,4817,798,4817,NA,NA,9
"LOC111137029","LOC111137029","LOC111137029",NA,"protein_coding","Eastern oyster","NC_035784.1",8.350749,"uncharacterized LOC111137029",NA,1,21402,3876,21402,NA,NA,28
"LOC111136548","LOC111136548","LOC111136548",NA,"protein_coding","Eastern oyster","NC_035784.1",8.388887,"calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type-like- transcript variant X1",NA,12,28787,3016,28528,NA,NA,27
"LOC111131860","LOC111131860","LOC111131860",NA,"protein_coding","Eastern oyster","NC_035783.1",8.438788,"probable UDP-sugar transporter protein SLC35A4- transcript variant X1",NA,2,9563,939,9544,NA,NA,10
"LOC111128683","LOC111128683","LOC111128683",NA,"protein_coding","Eastern oyster","NC_035783.1",8.483275,"monoacylglycerol lipase ABHD12-like- transcript variant X2",NA,3,6856,993,6599,NA,NA,12
"LOC111138303","LOC111138303","LOC111138303",NA,"protein_coding","Eastern oyster","NC_035784.1",8.530381,NA,NA,1,17540,6042,17540,NA,NA,53
"LOC111138305","LOC111138305","LOC111138305",NA,"protein_coding","Eastern oyster","NC_035784.1",8.548227,NA,NA,1,26885,3672,26885,NA,NA,28
"LOC111135774","LOC111135774","LOC111135774",NA,"protein_coding","Eastern oyster","NC_035784.1",8.601482,"UPF0183 protein C16orf70 homolog",NA,1,21498,1275,21498,NA,NA,14
"LOC111129873","LOC111129873","LOC111129873",NA,"protein_coding","Eastern oyster","NC_035783.1",8.603502,NA,NA,1,29950,7086,29950,NA,NA,52
"LOC111123922","LOC111123922","LOC111123922",NA,"protein_coding","Eastern oyster","NC_035780.1",8.612812,"monocarboxylate transporter 12-like- transcript variant X2",NA,4,8165,1278,7649,NA,NA,6
"LOC111119684","LOC111119684","LOC111119684",NA,"protein_coding","Eastern oyster","NC_035781.1",8.617198,"mpv17-like protein 2",NA,1,4021,555,4021,NA,NA,5
"LOC111131861","LOC111131861","LOC111131861",NA,"protein_coding","Eastern oyster","NC_035783.1",8.714748,"atypical kinase COQ8B- mitochondrial-like",NA,1,7214,1965,7214,NA,NA,14
"LOC111131406","LOC111131406","LOC111131406",NA,"protein_coding","Eastern oyster","NC_035783.1",8.725599,"RNA-binding protein Nova-1-like- transcript variant X1",NA,9,25643,1756,24697,NA,NA,6
"LOC111137818","LOC111137818","LOC111137818",NA,"protein_coding","Eastern oyster","NC_035780.1",8.842869,"di-N-acetylchitobiase-like- transcript variant X1",NA,2,7483,1348,5911,NA,NA,8
"LOC111119934","LOC111119934","LOC111119934",NA,"protein_coding","Eastern oyster","NC_035781.1",8.873368,"uncharacterized LOC111119934",NA,1,1302,504,1302,NA,NA,4
"LOC111119936","LOC111119936","LOC111119936",NA,"protein_coding","Eastern oyster","NC_035781.1",8.877713,"uncharacterized LOC111119936",NA,1,1233,441,1233,NA,NA,4
"LOC111135619","LOC111135619","LOC111135619",NA,"protein_coding","Eastern oyster","NC_035784.1",8.911956,NA,NA,1,13714,2739,13714,NA,NA,16
"LOC111137108","LOC111137108","LOC111137108",NA,"protein_coding","Eastern oyster","NC_035784.1",8.948612,NA,NA,1,19775,3321,19775,NA,NA,12
"LOC111131207","LOC111131207","LOC111131207",NA,"protein_coding","Eastern oyster","NC_035783.1",9.024652,"uncharacterized LOC111131207",NA,1,4933,2019,4933,NA,NA,2
"LOC111136599","LOC111136599","LOC111136599",NA,"protein_coding","Eastern oyster","NC_035784.1",9.03894,"B-cell CLL/lymphoma 7 protein family member A-like",NA,1,2672,600,2672,NA,NA,7
"LOC111133996","LOC111133996","LOC111133996",NA,"protein_coding","Eastern oyster","NC_035784.1",9.043259,"uncharacterized LOC111133996",NA,1,3672,672,3672,NA,NA,4
"LOC111136454","LOC111136454","LOC111136454",NA,"protein_coding","Eastern oyster","NC_035784.1",9.052433,"uncharacterized LOC111136454",NA,1,6073,3228,6073,NA,NA,4
"LOC111137120","LOC111137120","LOC111137120",NA,"protein_coding","Eastern oyster","NC_035784.1",9.070275,NA,NA,1,10180,1827,10180,NA,NA,15
"LOC111137800","LOC111137800","LOC111137800",NA,"protein_coding","Eastern oyster","NC_035784.1",9.108226,"solute carrier family 15 member 4-like",NA,1,5729,1923,5729,NA,NA,8
"LOC111117016","LOC111117016","LOC111117016",NA,"protein_coding","Eastern oyster","NC_035789.1",9.137099,"eppin-like- transcript variant X4",NA,4,29900,640,16960,NA,NA,6
"LOC111121784","LOC111121784","LOC111121784",NA,"protein_coding","Eastern oyster","NC_035781.1",9.251278,"uncharacterized LOC111121784",NA,1,1094,606,1094,NA,NA,2
"LOC111127798","LOC111127798","LOC111127798",NA,"protein_coding","Eastern oyster","NC_035783.1",9.309418,"RNA polymerase II-associated factor 1 homolog",NA,1,5643,1443,5643,NA,NA,13
"LOC111118696","LOC111118696","LOC111118696",NA,"protein_coding","Eastern oyster","NC_035781.1",9.333564,"tyramine beta-hydroxylase-like",NA,1,8664,1722,8664,NA,NA,9
"LOC111130347","LOC111130347","LOC111130347",NA,"protein_coding","Eastern oyster","NC_035783.1",9.336967,"stress-induced-phosphoprotein 1-like",NA,1,10896,1701,10896,NA,NA,13
"LOC111121659","LOC111121659","LOC111121659",NA,"protein_coding","Eastern oyster","NC_035781.1",9.346594,"conserved oligomeric Golgi complex subunit 3-like- transcript variant X1",NA,2,17205,2493,17205,NA,NA,22
